1,Any,https://s32.postimg.org/jhxypmr3p/iah_airport_360_wl.png
1,A,https://s32.postimg.org/4x7yp1gxh/iah_terminal_a_360_wl.png
1,B,https://s31.postimg.org/8ocobu87v/iah_terminal_b_360_wl.png
1,C,https://s31.postimg.org/f3c5s2bcr/iah_terminal_c_360_wl.png
1,D,https://s32.postimg.org/v6wvh93vp/iah_terminal_d_360_wl.png
1,E,https://s31.postimg.org/y2iazclwb/iah_terminal_e_360_wl.png
2,Any,http://san-francisco-sfo.worldairportguides.com/images/terminal_maps/wag_sfo_map.jpg
2,1,http://www.ifly.com/resources/img/airports/sub-terminal-maps/San-Francisco-Airport-SFO-Terminal1.jpg
2,2,http://www.ifly.com/resources/img/airports/sub-terminal-maps/San-Francisco-Airport-SFO-Terminal2.jpg
2,3,http://www.airportterminalmaps.com/resources/img/airports/sub-terminal-maps/San-Francisco-Airport-SFO-Terminal1.jpg
